"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
2,6,2,2,3,2,2,3,5,8
3,4,3,5,2,4,3,4,7,6
3,4,2,3,3,5,2,3,6,9
2,1,1,5,0,5,2,0,6,0
5,6,6,8,7,8,3,8,14,13
7,12,6,11,8,7,3,14,12,22
2,7,2,3,3,2,4,4,11,3
1,4,0,0,1,1,2,4,1,3
3,5,3,4,4,4,2,4,7,5
5,4,6,7,2,8,2,5,10,9
0,1,0,0,0,1,1,0,1,0
3,3,1,6,0,6,1,0,7,2
4,11,7,10,6,10,5,9,13,15
1,5,0,3,2,5,3,3,9,5
2,4,4,4,4,4,2,7,5,11
3,4,0,2,3,5,2,5,8,4
2,6,1,3,2,4,1,5,6,8
1,2,0,2,0,1,1,0,2,1
3,4,1,6,4,5,4,6,10,8
1,6,1,1,7,3,3,7,2,10
4,5,5,6,4,4,2,3,8,5
1,3,1,3,4,2,3,5,6,6
7,10,6,8,6,9,4,11,17,15
1,8,1,3,3,2,5,6,9,11
3,11,5,9,6,8,7,8,15,16
4,4,1,5,5,2,3,5,7,8
1,3,1,2,3,2,2,4,3,4
3,1,3,4,2,4,1,3,7,4
7,6,2,8,3,8,6,5,10,8
0,3,0,0,1,1,0,0,1,3
1,2,1,2,1,2,2,2,3,1
1,2,0,2,1,0,1,3,2,1
7,6,7,8,2,10,8,6,11,7
0,3,1,1,2,2,1,4,5,3
3,1,3,3,1,3,1,2,6,1
3,2,4,2,5,6,3,5,7,8
0,0,0,2,1,2,1,1,5,7
4,6,1,7,6,6,4,7,10,11
0,8,0,4,6,5,1,12,6,17
3,6,1,3,3,3,3,7,5,9
8,10,6,10,6,8,6,6,15,9
1,1,0,1,1,2,0,1,3,2
1,5,0,2,6,1,2,2,3,9
6,1,3,7,1,6,3,4,10,5
0,0,0,2,0,0,0,0,1,2
6,10,5,10,9,9,7,6,14,11
16,23,17,31,24,23,19,32,40,65
1,3,1,3,2,2,0,3,5,2
3,2,4,3,2,2,1,3,7,2
3,3,2,3,2,4,2,1,6,7
2,2,3,3,2,4,0,4,7,5
2,7,0,2,7,3,4,9,6,14
